INFO 2025-08-11 18:56:15,046 basehttp 21768 22740 "GET /static/js/store.js HTTP/1.1" 200 28755
INFO 2025-08-11 18:56:17,235 basehttp 21768 22740 "GET / HTTP/1.1" 200 30278
INFO 2025-08-11 19:07:31,099 basehttp 21768 5760 "GET /?search=makassar&category= HTTP/1.1" 200 30922
INFO 2025-08-11 19:07:31,124 basehttp 21768 5760 "GET /static/css/store.css HTTP/1.1" 304 0
INFO 2025-08-11 19:07:31,130 basehttp 21768 5760 "GET /static/js/store.js HTTP/1.1" 304 0
INFO 2025-08-11 19:08:23,288 basehttp 21768 9540 "GET / HTTP/1.1" 200 32058
INFO 2025-08-11 19:08:23,322 basehttp 21768 9540 "GET /static/js/main.js HTTP/1.1" 304 0
WARNING 2025-08-11 19:08:25,643 log 21768 9540 Not Found: /admincu
WARNING 2025-08-11 19:08:25,644 basehttp 21768 9540 "GET /admincu HTTP/1.1" 404 6388
WARNING 2025-08-11 19:08:34,018 log 21768 9540 Not Found: /admincu
WARNING 2025-08-11 19:08:34,020 basehttp 21768 9540 "GET /admincu HTTP/1.1" 404 6388
INFO 2025-08-11 19:08:38,929 basehttp 21768 9540 "GET /admin HTTP/1.1" 301 0
INFO 2025-08-11 19:08:38,993 basehttp 21768 24164 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-08-11 19:08:39,583 basehttp 21768 24164 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 16895
INFO 2025-08-11 19:08:39,625 basehttp 21768 24164 "GET /static/admin/css/base.css HTTP/1.1" 200 21544
INFO 2025-08-11 19:08:39,636 basehttp 21768 7316 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-08-11 19:08:39,637 basehttp 21768 20984 "GET /static/admin_interface/css/change-form.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 1125
INFO 2025-08-11 19:08:39,637 basehttp 21768 17284 "GET /static/admin_interface/css/changelist.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 1517
INFO 2025-08-11 19:08:39,640 basehttp 21768 24164 "GET /static/admin_interface/css/fieldsets.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 499
INFO 2025-08-11 19:08:39,642 basehttp 21768 24420 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2682
INFO 2025-08-11 19:08:39,644 basehttp 21768 7316 "GET /static/admin_interface/css/file-upload.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 1169
INFO 2025-08-11 19:08:39,652 basehttp 21768 4856 "GET /static/admin_interface/css/admin-interface.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 18580
INFO 2025-08-11 19:08:39,656 basehttp 21768 20984 "GET /static/admin_interface/css/header.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 1015
INFO 2025-08-11 19:08:39,657 basehttp 21768 17284 "GET /static/admin_interface/css/inlines.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 2715
INFO 2025-08-11 19:08:39,658 basehttp 21768 24420 "GET /static/admin_interface/css/language-chooser.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 1734
INFO 2025-08-11 19:08:39,662 basehttp 21768 24164 "GET /static/admin_interface/css/jquery.ui.tabs.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 5481
INFO 2025-08-11 19:08:39,666 basehttp 21768 4856 "GET /static/admin_interface/css/list-filter-dropdown.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 785
INFO 2025-08-11 19:08:39,673 basehttp 21768 17284 "GET /static/admin_interface/css/modules.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 404
INFO 2025-08-11 19:08:39,674 basehttp 21768 7316 "GET /static/admin_interface/css/list-filter.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 1054
INFO 2025-08-11 19:08:39,674 basehttp 21768 24420 "GET /static/admin_interface/css/nav-sidebar.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 2377
INFO 2025-08-11 19:08:39,675 basehttp 21768 20984 "GET /static/admin_interface/css/login.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 1240
INFO 2025-08-11 19:08:39,676 basehttp 21768 24164 "GET /static/admin_interface/css/paginator.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 797
INFO 2025-08-11 19:08:39,689 basehttp 21768 4856 "GET /static/admin_interface/css/object-tools.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 319
INFO 2025-08-11 19:08:39,693 basehttp 21768 24420 "GET /static/admin_interface/css/sticky-form-controls.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 2437
INFO 2025-08-11 19:08:39,693 basehttp 21768 7316 "GET /static/admin_interface/css/tabbed-changeform.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 2013
INFO 2025-08-11 19:08:39,698 basehttp 21768 24164 "GET /static/admin_interface/css/third-party/ckeditor.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 2720
INFO 2025-08-11 19:08:39,699 basehttp 21768 20984 "GET /static/admin_interface/css/widgets.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 5259
INFO 2025-08-11 19:08:39,701 basehttp 21768 17284 "GET /static/admin_interface/css/rtl.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 1016
INFO 2025-08-11 19:08:39,703 basehttp 21768 4856 "GET /static/admin_interface/css/third-party/import-export.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 189
INFO 2025-08-11 19:08:39,709 basehttp 21768 24420 "GET /static/admin_interface/css/third-party/json-widget.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 993
INFO 2025-08-11 19:08:39,710 basehttp 21768 7316 "GET /static/admin_interface/css/third-party/modeltranslation.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 356
INFO 2025-08-11 19:08:39,711 basehttp 21768 24164 "GET /static/admin_interface/css/third-party/rangefilter.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 1238
INFO 2025-08-11 19:08:39,717 basehttp 21768 20984 "GET /static/admin_interface/css/third-party/streamfield.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 6407
INFO 2025-08-11 19:08:39,717 basehttp 21768 17284 "GET /static/admin_interface/css/third-party/sorl-thumbnail.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 1451
INFO 2025-08-11 19:08:39,724 basehttp 21768 4856 "GET /static/admin_interface/css/third-party/tinymce.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 78
INFO 2025-08-11 19:08:39,726 basehttp 21768 24420 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2025-08-11 19:08:39,727 basehttp 21768 20984 "GET /static/admin/css/responsive_rtl.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 1864
INFO 2025-08-11 19:08:39,744 basehttp 21768 24164 "GET /static/admin/css/responsive.css?v=0cfa230e56a1ce0d7822440cf565e3d9919e973fec6b57753b0df2a7 HTTP/1.1" 200 17905
INFO 2025-08-11 19:08:39,744 basehttp 21768 7316 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17905
INFO 2025-08-11 19:08:39,755 basehttp 21768 24164 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-08-11 19:08:39,756 basehttp 21768 7316 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-08-11 19:08:41,772 basehttp 21768 7316 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 17054
INFO 2025-08-11 19:09:26,409 basehttp 21768 7316 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
